행정구역별,연령별,1998 년,1999 년,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년
세종특별자치시,31세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1768,1955,2328,3140,3566,3959,4405,4839,4885,5098,5577,5537
세종특별자치시,32세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1822,1945,2864,3560,3802,4318,4743,5116,5200,5309,5400,5692
세종특별자치시,33세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1854,2014,2937,4321,4358,4604,5046,5457,5467,5626,5565,5565
세종특별자치시,34세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1589,2069,2999,4477,5267,5376,5406,5730,5812,5832,5974,5716
세종특별자치시,35세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1814,1784,3129,4489,5286,6286,6132,5964,5976,6098,6050,6035
세종특별자치시,36세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1779,2035,2656,4615,5298,6282,7201,6772,6228,6224,6359,6147
세종특별자치시,37세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1770,1996,2927,3945,5486,6166,7138,7813,7052,6507,6495,6430
세종특별자치시,38세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,1963,2857,4349,4641,6365,6927,7713,8128,7330,6776,6550
세종특별자치시,39세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2166,2263,2852,4216,5047,5400,7152,7558,8094,8479,7550,6802
세종특별자치시,40세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1969,2357,3108,4185,4906,5817,5972,7770,7877,8391,8675,7553
세종특별자치시,41세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2106,2188,3177,4430,4788,5560,6465,6417,8048,8155,8610,8687
세종특별자치시,42세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1860,2341,2888,4396,5070,5505,6140,6836,6670,8295,8408,8613
세종특별자치시,43세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1884,2054,3117,4117,4922,5785,6015,6508,7123,6817,8505,8417
세종특별자치시,44세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1899,2066,2753,4234,4607,5603,6294,6344,6680,7341,6985,8500
세종특별자치시,45세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1694,2030,2680,3661,4775,5157,6101,6643,6573,6868,7452,6989
세종특별자치시,46세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1564,1811,2578,3459,4115,5291,5611,6469,6815,6742,6978,7480
세종특별자치시,47세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1654,1700,2235,3379,3907,4665,5725,5909,6638,7001,6856,6993
세종특별자치시,48세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1667,1778,2053,2880,3824,4425,5140,6075,6108,6882,7096,6850
세종특별자치시,49세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1496,1784,2168,2629,3274,4312,4784,5501,6299,6272,6939,7101
세종특별자치시,50세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1797,1596,2107,2741,2995,3709,4717,5137,5646,6478,6388,6970
세종특별자치시,51세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1907,1961,1912,2677,3108,3390,4036,5065,5322,5875,6580,6324
세종특별자치시,52세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1977,2017,2304,2397,3009,3469,3727,4376,5181,5566,5999,6554
세종특별자치시,53세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1753,2063,2344,2810,2712,3331,3813,3966,4526,5378,5632,5953
세종특별자치시,54세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1612,1850,2397,2916,3103,3093,3694,4083,4092,4716,5469,5577
세종특별자치시,55세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1608,1678,2121,2889,3270,3473,3345,3966,4152,4260,4786,5408
세종특별자치시,56세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1522,1706,1934,2575,3169,3646,3816,3545,4100,4301,4317,4720
세종특별자치시,57세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1689,1604,1944,2348,2844,3530,3986,4043,3667,4271,4357,4287
세종특별자치시,58세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1488,1748,1794,2358,2603,3145,3826,4218,4202,3752,4337,4297
세종특별자치시,59세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1167,1530,1924,2161,2627,2885,3413,4081,4317,4279,3802,4343
세종특별자치시,60세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1313,1208,1657,2325,2360,2909,3160,3668,4149,4416,4355,3802
세종특별자치시,61세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001,1356,1358,1982,2536,2602,3184,3390,3815,4291,4491,4335
